No of bedrooms,No of bathrooms,living area,No of floors,waterfront present,No of views,house condition,house grade,Built Year,Renovation Year,Lattitude,Longitude,living_area_renov,Price,Total floor area,Total lot area
2,2.0,970,1.0,0,0,5,6,1940,0,52.7373,-114.562,1850,303000,970,18750
2,1.0,740,1.0,0,2,3,5,1915,0,52.8004,-114.599,1490,295000,740,9159
3,2.25,1720,2.0,0,0,3,8,1983,0,52.5436,-114.534,2340,290256,1720,15770
2,1.0,670,1.0,0,0,5,6,1942,0,52.7461,-114.564,760,279000,670,12600
4,2.5,1889,2.0,0,0,3,7,2012,0,52.4976,-114.446,1990,277950,1889,12350
4,2.5,1830,2.0,0,0,3,7,2007,0,52.7486,-114.466,2330,275000,1830,7736
3,2.5,1550,2.0,0,0,3,7,2009,0,52.5823,-114.402,2095,273500,1550,6804
3,2.5,1530,2.0,0,0,4,7,1991,0,52.5787,-114.226,1360,265000,1530,12000
3,1.75,1580,1.0,0,0,3,8,1993,0,52.5838,-114.237,1620,263000,1580,15584
3,2.5,1490,2.0,0,0,4,7,1990,0,52.6012,-114.282,1640,260000,1490,16045
3,2.0,1440,2.0,0,0,3,7,1986,0,52.6084,-114.236,1480,250000,1440,11743
3,1.0,1010,1.0,0,0,5,6,1944,0,52.7214,-114.376,1250,250000,1010,16764
2,1.0,960,1.0,0,0,3,6,1947,0,52.6422,-114.457,1020,242000,960,43700
3,2.25,1630,1.0,0,0,4,7,1973,0,52.5376,-114.567,1630,231500,1630,16100
4,2.0,2090,1.0,0,0,3,7,1974,0,52.7377,-114.458,1550,200000,2090,14610
2,1.0,860,1.0,0,0,4,6,1983,0,52.5982,-114.286,1390,195000,860,19486
3,1.0,920,1.0,0,0,4,7,1978,0,52.5923,-114.28,1160,152000,920,9750
3,1.0,1200,1.0,0,0,3,7,1959,0,52.7412,-114.506,1510,150000,1200,18984
2,1.0,740,1.0,0,0,3,6,1942,0,52.736,-114.525,980,114975,740,13207
4,4.75,4575,2.5,0,2,5,10,1926,0,52.8563,-114.474,3900,2920000,4575,33772
8,2.75,4040,1.0,0,0,4,9,1962,0,52.864,-114.411,3670,1650000,4040,41166
4,3.5,4410,2.0,0,2,3,12,1996,0,52.7818,-114.297,4090,1500000,4410,24553
3,3.25,3700,2.0,0,0,3,11,1998,0,52.8953,-114.395,3930,1480000,3700,4831
6,3.5,4860,2.0,0,0,3,11,1998,0,52.7821,-114.327,3600,1070000,4860,23586
5,4.5,4300,2.0,0,0,3,10,2004,0,52.7857,-114.217,3950,975000,4300,24500
4,2.75,3520,2.0,0,0,3,9,2014,0,52.8481,-114.246,3340,859990,3520,11000
3,2.5,3190,2.0,0,0,3,9,2014,0,52.9453,-114.411,3190,814842,3190,13798
5,2.5,2900,2.0,0,0,3,9,2006,0,52.7696,-114.188,3200,808900,2900,11676
4,2.25,3220,2.0,0,0,3,8,1968,0,52.8681,-114.306,2500,800000,3220,16068
4,3.5,3560,2.0,0,0,3,10,2006,0,52.8128,-114.162,3660,790000,3560,12944
4,2.5,3500,2.0,0,0,3,9,2004,0,52.9085,-114.215,3990,790000,3500,17796
3,3.5,3190,2.0,0,0,3,10,1998,0,52.8648,-114.254,3230,780000,3190,13965
3,1.75,2050,1.5,0,0,5,9,1959,0,52.8268,-114.364,2530,745000,2050,20911
5,2.25,3320,2.0,0,0,3,9,2000,0,52.7162,-113.908,1580,665000,3320,116306
3,1.0,1060,1.0,0,0,3,7,1952,0,52.8518,-114.383,1620,641200,1060,18244
4,2.75,3040,2.0,0,3,3,9,1986,0,52.9484,-114.47,2830,640000,3040,17354
4,3.25,3420,2.0,0,2,3,9,2012,0,52.747,-114.066,3010,635000,3420,11924
3,1.5,1230,1.0,0,0,3,7,1927,0,52.897,-114.523,1260,625000,1230,7548
4,3.0,2530,1.0,0,0,3,8,1976,0,52.9394,-114.423,1840,625000,2530,11236
4,2.25,2210,1.0,0,0,4,8,1967,0,52.864,-114.291,2070,620000,2210,21004
4,2.5,2090,2.0,0,0,4,8,1992,0,52.8018,-114.186,2090,601000,2090,13276
5,2.5,2780,1.0,0,0,4,8,1968,0,52.7981,-114.318,2750,582000,2780,22265
7,2.75,2310,1.5,0,0,3,6,1915,0,52.9075,-114.58,1340,580000,2310,6225
3,2.25,1790,2.0,0,0,3,8,1984,0,52.7841,-114.352,2060,578000,1790,19575
4,1.75,2440,1.0,0,0,4,9,1960,0,52.9501,-114.551,2030,575000,2440,16200
4,2.0,1790,1.0,0,0,5,8,1972,0,52.8566,-114.293,2150,570000,1790,15638
4,1.75,2140,1.0,0,0,4,7,1948,0,52.9342,-114.56,1950,565000,2140,14204
5,1.5,2240,1.0,0,0,3,8,1956,0,52.9346,-114.506,1870,534950,2240,12717
4,2.25,2130,1.0,0,0,3,7,1969,0,52.9387,-114.388,2120,530000,2130,17466
3,1.5,1560,1.0,0,0,4,7,1969,0,52.9029,-114.338,1870,525000,1560,18021
5,3.0,2360,1.0,0,0,3,7,2008,0,52.9231,-114.52,2180,504600,2360,10009
3,1.5,1320,1.0,0,0,4,7,1951,0,52.9494,-114.561,1480,500000,1320,16200
4,2.5,2090,2.0,0,0,3,8,2006,0,52.9753,-114.382,2640,489900,2090,8699
3,3.0,2440,2.0,0,0,3,9,1992,0,52.8404,-114.25,2440,483000,2440,30823
4,2.75,2200,1.0,0,0,3,7,1980,0,52.7093,-114.312,2650,475000,2200,22908
3,3.25,1380,3.0,0,0,3,8,2008,0,52.8917,-114.539,1310,475000,1380,2526
2,2.5,1140,3.0,0,0,3,8,2007,0,52.9013,-114.573,1220,467000,1140,2370
4,2.5,2230,1.0,0,0,4,7,1978,0,52.7054,-114.197,2230,464950,2230,135440
3,2.5,1610,2.0,0,2,3,9,2005,0,52.7974,-114.48,1610,460000,1610,6700
3,2.5,1810,3.0,0,0,3,8,2008,0,52.8032,-114.577,1810,450000,1810,1828
3,1.75,1450,1.0,0,0,3,8,1983,0,52.9522,-114.298,1950,440000,1450,14451
3,2.25,1900,1.0,0,0,3,8,1970,0,52.8694,-114.303,1900,440000,1900,14624
4,1.0,1760,1.0,0,0,3,7,1947,0,52.9341,-114.545,1180,429950,1760,11060
4,1.75,1430,1.0,0,0,4,7,1960,0,52.8383,-114.322,2070,412000,1430,19140
3,1.5,1600,1.0,0,0,3,7,1966,0,52.951,-114.372,1700,405000,1600,15000
3,2.5,2020,1.0,0,0,4,6,1910,0,52.7921,-114.481,1670,400000,2020,6000
3,2.5,1470,2.0,0,0,3,8,2006,0,52.8333,-114.499,1510,397500,1470,3053
4,2.5,2240,2.0,0,0,3,8,2013,0,52.726,-114.359,700,389950,2240,11000
3,2.0,1860,1.0,0,0,3,8,1922,2004,52.6898,-114.542,1640,385000,1860,15861
2,1.0,1470,1.0,0,0,4,6,1949,0,52.7071,-114.22,2600,380000,1470,150717
3,1.0,1170,1.0,0,0,3,7,1965,0,52.7748,-114.565,1380,370000,1170,2504
3,1.75,1640,1.0,0,0,3,8,1965,0,52.9425,-114.51,1480,369950,1640,12060
4,2.5,2650,2.0,0,0,4,8,1989,0,52.5039,-114.483,2340,350000,2650,19236
4,2.5,2490,2.0,0,0,3,8,2000,0,52.6175,-114.345,2690,344200,2490,11824
4,2.5,2340,1.0,0,1,3,8,1981,0,52.5663,-114.521,2070,339900,2340,17989
3,2.25,2090,1.0,0,0,4,7,1979,0,52.6954,-114.364,1820,339000,2090,18103
4,2.5,1920,2.0,0,0,3,7,2002,0,52.6095,-114.213,2200,329950,1920,11200
3,2.25,1930,2.0,0,0,3,7,2004,0,52.9753,-114.175,1930,326000,1930,6414
3,1.75,1640,1.0,0,0,4,7,1966,0,52.6244,-114.696,1850,319000,1640,433679
3,1.5,1480,3.0,0,0,3,7,2007,0,52.958,-114.482,1480,319000,1480,7486
3,1.75,1660,1.0,0,0,4,7,1991,0,52.4859,-114.197,2070,315000,1660,92092
3,1.75,1810,1.0,0,0,5,7,1980,0,52.6409,-114.148,1650,314000,1810,176836
4,2.25,2560,1.0,0,0,3,7,1976,0,52.57,-114.461,1920,303000,2560,18596
3,2.5,1600,2.0,0,0,4,8,1993,0,52.569,-114.456,1890,299950,1600,18740
3,2.5,1650,2.0,0,0,3,8,2011,0,52.5848,-114.245,2000,299000,1650,9450
2,1.0,840,1.0,0,0,4,6,1919,0,52.9348,-114.537,1040,290000,840,7688
3,1.75,1220,1.0,0,0,5,7,1966,0,52.6792,-114.347,1640,289900,1220,14214
3,2.5,1690,2.0,0,0,4,7,1992,0,52.5798,-114.248,1410,270000,1690,15755
3,2.0,1680,1.0,0,0,3,6,1948,0,52.6224,-114.498,2150,258000,1680,31566
2,1.0,1030,1.0,0,0,3,6,1956,0,52.7114,-114.531,1480,250000,1030,16907
3,1.0,920,1.0,0,0,3,7,1952,0,52.7669,-114.481,1320,250000,920,12289
3,1.75,1440,1.0,0,0,4,8,1966,0,52.5803,-114.469,1440,246000,1440,31325
3,2.5,2350,1.0,0,0,4,8,1966,0,52.5426,-114.554,2270,235000,2350,17799
3,1.5,1330,1.0,0,0,5,7,1967,0,52.5975,-114.3,1420,230000,1330,19096
3,1.75,1140,1.0,0,0,4,7,1968,0,52.5363,-114.46,1370,206000,1140,19600
3,1.5,1820,1.0,0,0,4,7,1962,0,52.6779,-114.403,1740,205000,1820,18673
2,1.0,890,1.0,0,0,3,6,1935,1997,52.4303,-114.186,1460,199990,890,12860
2,1.0,810,1.0,0,0,4,6,1923,0,52.5357,-114.406,1140,194900,810,13392
2,1.0,640,1.0,0,0,3,6,1942,0,52.745,-114.549,840,165000,640,15192
2,1.0,950,1.0,0,0,4,8,1972,0,52.6093,-114.511,1080,162950,950,6683
3,1.5,1480,1.0,0,0,3,7,1980,0,52.5166,-114.558,1470,160000,1480,14022
4,2.75,3010,2.0,0,0,3,9,2014,0,52.9248,-114.369,3010,839950,3010,14403
4,2.5,2900,2.0,0,0,3,9,1992,0,52.9026,-114.22,2900,690000,2900,58077
2,1.0,1290,1.0,0,0,4,6,1922,0,52.9077,-114.495,1260,492000,1290,11648
2,1.0,900,1.0,0,0,3,7,1944,2004,52.9155,-114.479,1460,451000,900,10800
3,2.5,1320,2.0,0,0,3,8,2004,0,52.7657,-114.555,1320,369000,1320,3889
3,2.25,1530,2.0,0,0,3,7,2011,0,52.9642,-114.158,2110,335000,1530,8674
3,1.0,950,1.0,0,0,3,7,1968,0,52.9493,-114.374,2270,335000,950,16540
4,1.5,2220,1.0,0,0,4,7,1961,0,52.7359,-114.383,1800,320000,2220,14161
3,1.75,1420,1.0,0,0,4,7,1962,0,52.5231,-114.378,1420,235000,1420,15840
4,2.25,2030,2.0,0,0,4,8,1983,0,52.9514,-114.3,1950,579000,2030,15229
3,2.5,1870,2.0,0,0,3,7,2005,0,52.6292,-114.353,2190,300000,1870,7468
3,1.75,1720,1.0,0,0,4,7,1962,0,52.7009,-114.45,1840,285000,1720,26208
4,4.5,4650,2.0,0,0,3,11,2008,0,52.8649,-114.388,1710,1750000,4650,16060
4,2.25,3470,1.5,0,1,3,9,1906,2002,52.8449,-114.477,3010,1730000,3470,16000
5,3.5,5930,2.0,0,2,3,11,1996,0,52.7842,-114.287,3860,1520000,5930,25350
4,4.25,3650,1.5,0,0,3,9,1907,2014,52.868,-114.552,1710,1520000,3650,8928
2,3.25,2700,3.0,1,3,3,9,1990,0,52.7984,-114.25,2710,1370000,2700,6888
4,2.5,3730,2.0,0,0,3,10,1990,0,52.7978,-114.418,3200,1260000,3730,33900
3,3.0,4560,2.0,0,2,3,10,2001,0,52.9324,-114.433,2620,1220000,4560,27900
3,2.5,3430,1.5,0,0,3,10,1984,0,52.8777,-114.373,3440,1200000,3430,63739
5,3.25,3070,2.0,0,0,3,9,2006,0,52.9042,-114.546,2070,1110000,3070,10000
4,3.5,2210,1.0,0,0,4,9,1977,2006,52.8116,-114.387,2370,1100000,2210,16408
4,4.0,5320,2.0,0,0,3,11,2003,0,52.8152,-114.156,4640,1060000,5320,37309
4,3.25,3600,2.0,0,1,3,10,2013,0,52.7594,-114.344,3970,1030000,3600,29602
5,2.5,2750,1.5,0,0,3,8,1904,1994,52.9029,-114.524,1520,980000,2750,10158
4,2.0,2190,2.5,0,0,5,8,1910,0,52.892,-114.519,2190,980000,2190,9120
3,3.25,3330,2.5,0,0,3,9,1988,0,52.7695,-114.432,4340,950000,3330,35124
4,3.25,3820,2.0,0,0,3,10,2003,0,52.8397,-114.207,2790,950000,3820,22435
3,2.5,3940,2.0,0,0,3,9,1992,0,52.8768,-114.306,2720,933399,3940,22301
3,3.5,3790,2.0,0,0,3,11,1993,0,52.7825,-114.288,3620,929950,3790,21818
3,3.25,4030,2.0,0,0,4,9,1975,0,52.8631,-114.356,2670,890000,4030,26212
4,3.0,2720,2.0,0,0,3,8,1975,2007,52.9049,-114.192,2140,850000,2720,357627
3,2.25,2220,2.0,0,0,4,8,1919,0,52.847,-114.476,2030,850000,2220,8557
4,1.75,1760,1.5,0,0,4,8,1906,0,52.905,-114.521,1760,810000,1760,10200
6,2.75,3040,1.0,0,3,4,9,1958,0,52.6788,-114.546,2420,799950,3040,57796
4,2.5,2880,2.0,0,4,3,8,1955,1987,53.0004,-114.576,2880,775000,2880,15840
3,2.75,3010,1.0,0,0,4,8,1970,0,52.8692,-114.298,2500,745000,3010,24864
5,3.0,2970,2.0,0,0,3,9,2000,0,52.828,-114.209,2970,726000,2970,20670
4,2.75,2840,2.0,0,0,3,9,2008,0,52.9329,-114.361,1840,718500,2840,16500
3,1.0,1640,1.5,0,0,5,7,1909,0,52.8863,-114.541,2140,716100,1640,8000
3,2.5,2550,2.0,0,0,3,9,2004,0,52.8947,-114.273,2250,711000,2550,9426
2,1.75,2140,1.0,0,0,3,7,1930,1991,52.8584,-114.481,2250,675000,2140,9000
4,2.5,2900,2.0,0,0,3,8,2002,0,52.8363,-114.21,2970,675000,2900,10756
2,1.75,1650,1.0,0,0,4,7,1959,0,52.9171,-114.397,2530,670000,1650,16500
4,1.75,2010,1.0,0,1,4,7,1963,0,52.8093,-114.592,2180,650000,2010,10470
3,2.5,2540,1.0,0,0,4,8,1937,0,52.9476,-114.55,2110,650000,2540,15775
4,2.5,2530,1.5,0,0,3,8,1975,0,52.9037,-114.474,2150,650000,2530,11780
1,1.0,920,1.5,0,0,3,6,1996,2002,52.678,-114.662,1746,650000,920,182952
3,2.5,1910,2.0,0,0,3,9,2006,0,52.7782,-114.186,1890,650000,1910,8095
4,2.5,2510,1.0,0,0,4,8,1977,0,52.8134,-114.193,2080,630000,2510,69418
4,2.5,2660,2.0,0,0,3,9,1996,0,52.7211,-114.315,3060,629000,2660,43161
3,1.75,1950,1.0,0,0,4,8,1962,0,52.8193,-114.34,1740,615000,1950,16960
3,1.75,1630,3.0,0,0,3,8,2014,0,52.8836,-114.544,1570,610000,1630,2835
4,2.75,3030,2.0,0,0,3,8,1986,0,52.6781,-114.528,3020,608250,3030,49807
2,2.0,1270,1.5,0,0,4,8,1921,0,52.8421,-114.484,1870,605000,1270,9900
3,2.5,1640,2.0,0,0,3,8,1998,0,52.8403,-114.49,1440,602000,1640,7034
4,1.5,1770,1.5,0,0,4,7,1946,0,52.8073,-114.583,1740,600000,1770,12028
5,2.5,2950,2.0,0,0,3,8,2006,0,52.6486,-114.269,1480,599000,2950,128501
4,1.75,3140,1.0,0,0,3,7,1951,1983,52.9241,-114.363,2240,585000,3140,19827
3,2.0,2040,1.0,0,0,4,7,1925,0,52.7861,-114.567,1640,580000,2040,9600
3,2.5,3200,1.0,0,0,2,9,1967,1996,52.8017,-114.31,3200,580000,3200,41225
3,1.0,1140,1.0,0,0,4,7,1909,0,52.9082,-114.496,1700,576000,1140,10771
4,1.5,2810,1.0,0,2,3,8,1954,0,52.7552,-114.572,2240,575000,2810,13965
5,2.5,2990,1.0,0,2,3,9,1972,0,53.0007,-114.559,2800,575000,2990,17360
4,2.25,2070,3.0,0,0,3,9,2013,0,52.8075,-114.6,1569,575000,2070,6032
4,2.5,2640,2.0,0,0,3,8,1998,0,52.8338,-114.21,2460,570000,2640,8400
4,1.75,1980,1.5,0,0,3,8,1931,0,52.9165,-114.51,1720,560000,1980,5610
3,2.5,2120,2.0,0,0,3,7,2001,0,52.917,-114.227,2280,559950,2120,8690
3,1.75,1570,1.0,0,0,4,7,1968,0,52.9216,-114.312,1610,555000,1570,23000
3,1.75,1680,1.0,0,0,4,7,1960,0,52.7835,-114.567,1540,550000,1680,9800
3,1.75,1410,1.0,0,0,4,7,1923,0,52.9027,-114.585,1760,550000,1410,10000
2,1.75,1460,1.0,0,0,5,7,1950,0,52.9228,-114.529,2050,540000,1460,10392
3,2.0,1540,1.0,0,0,3,7,1968,0,52.8854,-114.319,1550,529950,1540,17160
3,2.5,3070,2.0,0,0,3,9,1995,0,52.7024,-114.337,3070,529000,3070,43901
5,2.5,2360,1.0,0,0,4,7,1961,0,52.7852,-114.368,2200,525000,2360,20542
3,1.75,1510,1.0,0,0,4,8,1962,0,52.8483,-114.303,1770,516130,1510,16500
3,2.5,1540,1.0,0,0,3,6,1944,2014,52.7996,-114.568,1710,515000,1540,12050
3,2.0,1620,1.0,0,0,3,7,1968,0,52.8874,-114.318,2120,498000,1620,16824
3,1.5,2240,1.0,0,0,3,8,1956,0,52.9437,-114.444,3200,497000,2240,35123
4,2.25,1960,2.0,0,0,3,7,1965,0,52.9187,-114.314,1560,490000,1960,20550
4,2.5,2846,1.5,0,0,3,8,2000,0,52.547,-114.471,1696,482000,2846,143311
3,1.75,1650,1.0,0,0,4,7,1977,0,52.8079,-114.234,2040,476000,1650,21820
3,1.0,1480,2.5,0,0,3,6,1940,0,52.7678,-114.233,1510,455000,1480,22003
2,1.5,1310,2.0,0,0,3,8,2006,0,52.8072,-114.599,1330,450000,1310,2529
4,2.5,2448,2.0,0,0,3,9,2014,0,52.5728,-114.369,2815,447055,2448,10395
3,2.5,1740,2.0,0,0,3,7,2012,0,52.974,-114.371,1920,447000,1740,5912
3,2.0,1870,1.0,0,0,4,7,1969,0,52.9544,-114.369,1620,432000,1870,15080
3,2.5,1440,1.0,0,0,5,7,1954,0,52.9479,-114.506,1160,430000,1440,14261
4,1.5,1540,2.0,0,0,3,7,1967,0,52.964,-114.383,1550,415000,1540,15282
3,2.0,1520,1.0,0,0,3,8,1996,0,53.0053,-114.565,1800,413000,1520,6651
3,2.0,1270,1.0,0,0,4,6,1968,0,52.9176,-114.358,1470,410000,1270,19977
2,1.75,1510,2.0,0,0,4,8,1978,0,52.8947,-114.32,1740,406500,1510,11479
2,1.75,1610,1.0,0,0,3,7,1996,0,52.7865,-114.465,1510,397000,1610,9388
4,2.5,2200,2.0,0,0,3,8,2010,0,52.9638,-114.156,2480,396800,2200,11917
3,2.25,1640,2.0,0,0,3,6,1983,0,52.7986,-114.476,1500,390000,1640,6835
3,1.0,1030,1.0,0,0,3,7,1924,0,52.9113,-114.507,1830,385000,1030,6000
3,1.0,1020,1.0,0,0,3,7,1944,0,52.7915,-114.462,1400,380000,1020,10265
3,2.5,1800,2.0,0,0,3,8,2011,0,52.7742,-114.561,1580,379900,1800,5408
3,1.0,1060,1.0,0,0,3,7,1959,0,52.9617,-114.5,1520,364500,1060,17975
3,2.25,2130,1.0,0,0,3,7,1983,0,52.6837,-114.401,2250,360000,2130,18148
3,1.0,1400,1.0,0,0,3,6,1943,0,52.9341,-114.53,990,359950,1400,9960
3,1.0,940,1.0,0,0,4,6,1959,0,52.8495,-114.31,1230,358000,940,14095
3,2.25,1322,2.0,0,0,3,8,2005,0,52.8276,-114.488,1690,350000,1322,3821
4,2.25,2210,2.0,0,0,4,8,1967,0,52.5948,-114.474,2040,336000,2210,20700
4,2.5,1830,2.0,0,0,3,7,2004,0,52.5804,-114.195,2080,335000,1830,9600
3,1.75,1010,1.0,0,0,4,7,1967,0,52.9617,-114.421,1250,325000,1010,14731
3,2.0,1770,1.0,0,0,4,8,1990,0,52.6387,-114.36,2560,320900,1770,14461
3,1.75,2000,1.0,0,0,4,8,1978,0,52.6717,-114.324,1890,320000,2000,17849
4,2.5,2330,2.0,0,0,3,8,2004,0,52.6234,-114.374,2330,308000,2330,10389
4,2.75,2420,2.0,0,0,3,8,1996,0,52.4391,-114.199,2420,307999,2420,17018
3,1.0,1240,1.0,0,0,3,6,1952,0,52.9577,-114.498,1250,294950,1240,17680
3,1.0,1300,1.0,0,0,4,6,1959,0,52.754,-114.011,1020,281000,1300,12982
3,1.75,1430,1.0,0,0,3,7,1925,1987,52.7813,-113.991,1430,279000,1430,80020
3,1.5,1540,1.0,0,0,4,7,1972,0,52.7066,-114.343,1550,270000,1540,26950
2,1.0,1150,1.0,0,0,3,6,1910,0,52.8029,-114.5,1160,270000,1150,7600
3,2.5,1520,1.0,0,0,3,7,1981,0,52.6567,-114.347,1720,269950,1520,16271
3,1.75,1170,1.0,0,0,3,7,1952,0,52.9779,-114.508,1200,265000,1170,16295
3,1.0,1170,1.0,0,0,3,7,1968,1986,52.6862,-114.386,1680,252000,1170,19855
3,1.5,1010,1.0,0,0,3,7,1969,0,52.609,-114.48,1640,240000,1010,18050
4,1.0,1280,1.0,0,0,3,6,1950,0,52.7289,-114.492,1310,239000,1280,16146
2,1.0,710,1.0,0,0,4,6,1953,0,52.6679,-114.527,1500,239000,710,24540
3,1.0,920,1.0,0,0,3,6,1948,0,52.778,-114.474,1860,210000,920,15036
2,1.0,820,1.0,0,0,5,5,1942,0,52.7215,-114.374,1000,208000,820,11400
1,0.75,590,1.0,0,0,3,6,1944,0,52.7481,-114.457,980,202000,590,11300
1,1.5,1010,2.0,0,0,3,8,2007,0,52.7792,-114.562,1360,200000,1010,2845
3,1.0,1510,1.0,0,0,3,7,1966,0,52.5631,-114.509,1180,199000,1510,16320
3,1.0,1250,1.0,0,0,3,7,1958,0,52.6848,-114.48,1510,170000,1250,18475
3,1.5,1370,1.0,0,0,4,6,1963,0,52.6799,-114.379,2350,168000,1370,10809
3,2.25,3170,2.0,0,0,5,10,1975,0,52.8649,-114.508,3170,1600000,3170,10400
5,4.0,3760,1.0,0,3,4,11,1969,0,52.7633,-114.41,3730,1380000,3760,33964
5,1.0,1670,1.5,0,0,3,8,1919,0,52.8842,-114.563,1910,1300000,1670,9383
4,2.5,4240,2.0,0,0,3,10,1989,0,52.8308,-114.234,3720,1160000,4240,103517
3,2.5,3050,1.5,0,0,5,8,1950,0,52.9072,-114.486,1890,975000,3050,13224
5,3.5,3750,1.0,0,2,4,9,1981,0,52.7811,-114.347,3270,942500,3750,19300
5,3.0,3850,2.0,0,0,4,9,1963,0,52.957,-114.552,2830,925000,3850,19065
3,2.25,2380,1.0,0,0,4,8,1963,0,52.8173,-114.383,2010,921000,2380,22400
4,2.5,3560,2.0,0,0,3,9,2014,0,52.8056,-114.261,3560,907687,3560,12672
4,1.75,2260,1.0,0,0,5,8,1948,0,52.9053,-114.468,2240,864000,2260,13200
4,2.5,3290,2.0,0,0,3,10,2003,0,52.9348,-114.297,3290,856500,3290,15614
6,3.25,4920,1.0,0,3,4,9,1960,0,52.7768,-114.457,3700,850000,4920,35584
4,2.25,2290,1.0,1,4,3,7,1948,0,52.7414,-114.435,2290,840500,2290,16468
5,2.5,2890,2.0,0,2,3,9,2003,0,52.7753,-114.185,3010,825000,2890,14910
3,1.5,1370,1.0,0,0,3,7,1955,0,52.8517,-114.388,1580,815000,1370,17342
5,1.5,1720,1.5,0,0,3,8,1915,0,52.8927,-114.545,1720,775000,1720,10000
4,1.75,2670,2.0,0,0,4,8,1941,0,52.8799,-114.581,1820,750000,2670,12500
4,2.25,2290,2.0,0,0,3,8,1972,0,52.8651,-114.358,2040,745000,2290,20818
4,2.5,3050,2.0,0,0,3,9,2007,0,52.9765,-114.421,1910,740000,3050,16000
4,2.5,2770,2.0,0,0,4,9,1988,0,52.7988,-114.202,2770,711000,2770,18751
4,2.5,3420,2.0,0,0,3,9,2002,0,52.5908,-114.16,3340,650000,3420,444312
4,2.75,2330,2.0,0,0,3,9,2004,0,52.7827,-114.18,2620,645000,2330,8317
2,1.0,1420,1.0,0,0,3,8,1953,0,52.8994,-114.465,2400,641000,1420,10738
4,2.5,2500,2.0,0,0,3,9,1991,0,52.8551,-114.216,2770,640000,2500,15605
5,2.0,1900,1.0,0,2,3,8,1957,0,52.9035,-114.552,1770,630000,1900,10000
4,2.5,2570,2.0,0,0,3,9,2000,0,52.8445,-114.217,2470,625000,2570,11189
3,2.0,1880,1.0,0,2,3,8,1950,0,52.8675,-114.581,1920,625000,1880,8000
3,1.5,1800,1.0,0,0,3,7,1941,0,52.9158,-114.575,1580,607500,1800,9400
4,2.75,2150,1.0,0,0,4,8,1982,0,52.9215,-114.373,2200,607000,2150,25985
3,1.0,940,1.0,0,0,3,6,1945,0,52.8128,-114.38,2280,600000,940,38000
2,1.0,1180,1.0,0,1,3,7,1909,0,52.8613,-114.558,2700,600000,1180,7560
3,2.5,2150,2.0,0,0,3,8,1995,0,52.9252,-114.377,2150,587000,2150,12365
3,2.5,2050,2.0,0,0,4,9,1989,0,52.7579,-114.351,2410,585000,2050,21862
4,2.5,2550,2.0,0,0,3,9,2001,0,52.7213,-114.271,1870,575000,2550,113256
4,2.5,2350,2.0,0,0,3,9,1990,0,52.8562,-114.235,2590,561600,2350,17864
3,2.5,2620,2.0,0,0,3,9,1988,0,52.9678,-114.408,2560,557500,2620,19744
3,2.0,2380,2.0,0,0,4,8,1934,0,52.9891,-114.47,2030,550000,2380,41850
3,2.5,2660,2.0,0,0,3,8,1992,0,52.7534,-114.245,2720,545000,2660,33296
4,2.75,3180,2.0,0,0,3,8,2004,0,52.9739,-114.167,3020,510000,3180,23377
4,2.75,2910,2.0,0,0,3,8,2013,0,52.7141,-113.962,2790,504058,2910,15335
3,2.5,1620,2.0,0,0,4,7,1900,1993,52.8336,-114.495,1370,498000,1620,6480
5,1.75,2760,1.0,0,0,3,8,1968,0,52.9663,-114.488,1720,495000,2760,26594
4,2.25,2800,1.0,0,0,3,8,1977,0,52.9748,-114.367,2260,490000,2800,20600
3,2.5,1930,2.0,0,0,3,8,2005,0,52.9491,-114.499,1930,490000,1930,14532
5,3.25,2180,2.0,0,0,4,7,1982,0,52.9378,-114.424,1840,473000,2180,14844
3,2.25,1780,1.0,0,0,3,7,1977,0,52.931,-114.362,1780,470000,1780,16488
2,1.5,1140,3.0,0,0,3,7,2005,0,52.8908,-114.523,1170,466000,1140,2174
2,1.0,1110,1.0,0,0,3,6,1937,0,52.9225,-114.51,1300,448000,1110,10826
4,1.75,2430,1.5,0,0,4,7,1909,1978,52.7545,-114.116,1330,445000,2430,23711
3,2.0,2190,1.0,0,0,4,9,1994,0,52.5842,-114.288,2770,432000,2190,27477
3,2.5,1710,2.0,0,0,3,8,1996,0,52.98,-114.424,1610,431000,1710,24837
2,2.0,1440,2.0,0,0,4,7,1990,0,52.5904,-114.647,1630,430000,1440,374180
3,2.5,1970,2.0,0,0,3,8,1978,0,52.8645,-114.298,1850,425500,1970,5530
3,1.75,1320,1.0,0,0,4,7,1969,0,52.9293,-114.32,1840,409950,1320,12595
2,2.25,1640,2.0,0,0,4,8,1974,0,52.983,-114.442,1640,409000,1640,4256
3,1.5,1010,1.0,0,0,5,7,1954,0,52.9659,-114.499,1300,405500,1010,16216
3,1.75,1480,2.0,0,0,3,7,1995,0,52.9266,-114.54,1480,402500,1480,4408
5,1.75,2300,2.0,0,0,3,7,1905,0,52.758,-114.51,1200,400000,2300,12720
3,2.0,1590,1.0,0,3,3,8,1998,0,52.4541,-114.262,2780,399950,1590,270281
4,1.75,1970,1.0,0,0,4,7,1968,0,52.9789,-114.426,1690,396000,1970,23129
3,2.75,1950,1.0,0,0,3,7,1956,0,52.9701,-114.448,1880,390000,1950,24240
